Years,Average of Ratings
1874,68
1878,53.2903225806452
1881,46.9545454545455
1882,57
1883,62
1885,52
1887,48.1777777777778
1888,59.3333333333333
1889,50.5
1890,50.2857142857143
1891,44.0714285714286
1892,46.5
1893,46.75
1894,44.0194174757282
1895,43.7857142857143
1896,44.1713917525773
1897,43.001312335958
1898,45.228813559322
1899,47.7115987460815
1900,48.9822485207101
1901,49.5643939393939
1902,49.9442060085837
1903,47.7927631578947
1904,48.1546762589928
1905,49.1280991735537
1906,48.6840277777778
1907,51.2209737827715
1908,52.6336898395722
1909,53.2129186602871
1910,53.2395604395604
1911,53.7797833935018
1912,54.2327586206897
1913,55.0683012259194
1914,57.2167300380228
1915,57.40625
1916,57.9792027729636
1917,57.5034965034965
1918,59.1611001964637
1919,59.0148698884758
1920,58.1518518518519
1921,60.2658959537572
1922,59.7392996108949
1923,60.6171328671329
1924,60.963025210084
1925,60.8179231863442
1926,60.29125
1927,60.6754176610979
1928,59.0924731182796
1929,59.8148893360161
1930,59.1203138622493
1931,60.4369009584665
1932,61.121897810219
1933,59.8839907192575
1934,59.5852470424495
1935,60.1543669600542
1936,60.491781722551
1937,60.7737321196359
1938,60.6349001931745
1939,61.1153054221002
1940,61.2291235334714
1941,60.7615489130435
1942,60.9733510992672
1943,61.3549783549784
1944,61.3951545530493
1945,61.4604051565378
1946,62.4544695071011
1947,62.5673701298701
1948,62.9856711915535
1949,62.6465352828989
1950,62.3874933190807
1951,63.6227141482194
1952,64.8338108882521
1953,65.6599713055954
1954,66.5871657754011
1955,67.5395404356908
1956,67.4944831591173
1957,67.9994799791992
1958,68.7704647322482
1959,69.2848497495826
1960,69.3611057037181
1961,69.1820298855036
1962,69.1335317882203
1963,68.2417512690355
1964,68.3812448812449
1965,67.7837495475932
1966,68.0083668005355
1967,67.8408870184526
1968,67.4477079796265
1969,67.3723781865118
1970,66.4206504065041
1971,65.8455219072165
1972,66.2738504848295
1973,66.5063760379597
1974,66.9541132075472
1975,66.7908045977012
1976,67.4591491240983
1977,67.3071284851969
1978,67.3562938951918
1979,66.4943310657596
1980,65.5872812633376
1981,65.6271472824557
1982,65.5697546181417
1983,66.4794794794795
1984,66.5925089179548
1985,67.1530783778105
1986,66.9881333195749
1987,67.1557239885816
1988,66.6910814753074
1989,67.1189122607542
1990,67.3600075493064
1991,67.6147437058504
1992,67.3714132475194
1993,68.0126773570649
1994,68.4175713399504
1995,68.5587894584419
1996,68.7627623467479
1997,68.2664765525982
1998,68.038488994646
1999,68.2959048877147
2000,68.5565883554648
2001,68.9053807788222
2002,68.7691520142444
2003,68.7940199335548
2004,68.8274102220235
2005,69.4540913955827
2006,68.9541627969681
2007,69.0666726462762
2008,68.6767086330935
2009,69.5356360221225
2010,69.8646410230591
2011,70.4379448743819
2012,70.9287121073684
2013,70.3638729828214
2014,70.7909145834907
2015,70.5157722394033
2016,71.01515227619
2017,71.2244295302013
2018,70.9658485688479
2019,70.973714389184
2020,70.6233410059259
2021,70.7782071577118
2022,71.4747082882233
2023,72.0138820423935
2024,72.6225418626868
2025,73.8804962034257
