Genres,Film Count,Average Ratings
"Action,Adult,History",1,52
"Action,Adult,Mystery",1,83
"Action,Adult,Sport",1,67
"Action,Adult,Western",1,70
"Action,Animation,Game-Show",1,81
"Action,Biography,Game-Show",1,62
"Action,Biography,Musical",1,40
"Action,Biography,Reality-TV",1,70
"Action,Comedy,Talk-Show",1,67
"Action,Documentary,Mystery",1,83
"Action,Family,War",1,50
"Action,Fantasy,Game-Show",1,63
"Action,Fantasy,Reality-TV",1,63
"Action,Fantasy,Talk-Show",1,85
"Action,Game-Show,Horror",1,82
"Action,Game-Show,Sci-Fi",1,62
"Action,History,Reality-TV",1,76
"Action,Horror,Musical",1,85
"Action,Music,Thriller",1,37
"Action,Musical,Mystery",1,46
"Action,Musical,Western",1,68
"Action,Mystery,War",1,62
"Action,Mystery,Western",1,42
"Action,News,Reality-TV",1,42
"Action,Reality-TV,War",1,81
"Adult,Animation,Documentary",1,54
"Adult,Biography",1,77
"Adult,Biography,Romance",1,51
"Adult,Comedy,Reality-TV",1,70
"Adult,Crime,Sci-Fi",1,58
"Adult,Crime,Talk-Show",1,58
"Adult,Documentary,Horror",1,53
"Adult,Documentary,Music",1,58
"Adult,Documentary,Thriller",1,38
"Adult,Fantasy,History",1,42
"Adult,Fantasy,Music",1,78
"Adult,Fantasy,Thriller",1,62
"Adult,Fantasy,War",1,46
"Adult,Fantasy,Western",1,53
"Adult,Game-Show,Talk-Show",1,54
"Adult,Horror,Music",1,48
"Adult,Musical,Short",1,68
"Adult,Mystery,Sci-Fi",1,64
"Adult,Mystery,Short",1,56
"Adult,Mystery,War",1,67
"Adult,Reality-TV,Short",1,79
"Adult,Reality-TV,Talk-Show",1,65
"Adult,Romance,Western",1,52
"Adult,Short,Sport",1,73
"Adult,Sport,War",1,85
"Adventure,Animation,Thriller",1,82
"Adventure,Animation,War",1,83
"Adventure,Biography,Horror",1,59
"Adventure,Comedy,News",1,84
"Adventure,Crime,Music",1,61
"Adventure,Crime,News",1,86
"Adventure,Documentary,Talk-Show",1,90
"Adventure,Fantasy,Sport",1,80
"Adventure,Fantasy,Western",1,78
"Adventure,Film-Noir,Romance",1,66
"Adventure,Horror,Musical",1,38
"Adventure,Horror,Sport",1,53
"Adventure,Music,Thriller",1,75
"Adventure,Musical,War",1,58
"Adventure,Mystery,Sport",1,65
"Adventure,Reality-TV,Short",1,68
"Adventure,Reality-TV,Western",1,84
"Adventure,Talk-Show",1,87
"Adventure,Thriller,War",1,85
"Adventure,Thriller,Western",1,64
"Animation,Biography,Mystery",1,56
"Animation,Biography,News",1,54
"Animation,Crime,Music",1,69
"Animation,Crime,News",1,72
"Animation,Documentary,Talk-Show",1,75
"Animation,Drama,News",1,54
"Animation,Fantasy,War",1,81
"Animation,Game-Show,Horror",1,77
"Animation,History,News",1,71
"Animation,History,Sci-Fi",1,72
"Animation,Horror,News",1,53
"Animation,Musical,Reality-TV",1,93
"Animation,News,Sci-Fi",1,81
"Animation,Reality-TV,Short",1,79
"Biography,Comedy,Mystery",1,58
"Biography,Comedy,Thriller",1,66
"Biography,Crime,Fantasy",1,43
"Biography,Crime,Film-Noir",1,58
"Biography,Crime,Romance",1,68
"Biography,Crime,Short",1,61
"Biography,Drama,Film-Noir",1,58
"Biography,Drama,News",1,45
"Biography,Drama,Reality-TV",1,47
"Biography,Family,Fantasy",1,86
"Biography,Family,Game-Show",1,80
"Biography,Family,Mystery",1,89
"Biography,Family,News",1,74
"Biography,Fantasy,Sci-Fi",1,66
"Biography,History,Reality-TV",1,81
"Biography,History,Sci-Fi",1,72
"Biography,Horror,Sci-Fi",1,73
"Biography,Horror,Talk-Show",1,78
"Biography,Music,Mystery",1,49
"Biography,Music,Talk-Show",1,46
"Biography,Mystery,Short",1,72
"Biography,Reality-TV,Sport",1,26
"Biography,Short,Talk-Show",1,79
"Biography,Thriller,War",1,46
"Comedy,Crime,War",1,51
"Comedy,Family,News",1,73
"Comedy,Fantasy,Game-Show",1,90
"Comedy,Fantasy,Reality-TV",1,57
"Comedy,Fantasy,Talk-Show",1,85
"Comedy,Fantasy,Western",1,46
"Comedy,Film-Noir,Mystery",1,59
"Comedy,History,Western",1,92
"Comedy,Horror,War",1,55
"Comedy,Mystery,News",1,83
"Comedy,Mystery,Talk-Show",1,77
"Comedy,News,Sci-Fi",1,72
"Comedy,Sport,Thriller",1,47
"Comedy,Sport,War",1,26
"Comedy,Sport,Western",1,68
"Comedy,War,Western",1,59
"Crime,Documentary,Romance",1,69
"Crime,Documentary,Western",1,61
"Crime,Family,Fantasy",1,37
"Crime,Film-Noir,Horror",1,54
"Crime,Film-Noir,Sport",1,78
"Crime,Game-Show,Thriller",1,71
"Crime,History,Musical",1,61
"Crime,History,News",1,81
"Crime,History,Sci-Fi",1,86
"Crime,History,War",1,76
"Crime,Horror,Talk-Show",1,70
"Crime,Music,Musical",1,65
"Crime,Mystery,Sport",1,52
"Crime,Mystery,War",1,70
"Crime,Mystery,Western",1,58
"Crime,News,Talk-Show",1,72
"Crime,Reality-TV,Talk-Show",1,47
"Crime,Reality-TV,Thriller",1,73
"Crime,Romance,Western",1,57
"Crime,Short,War",1,65
"Crime,Sport,Thriller",1,52
"Documentary,Drama,Game-Show",1,86
"Documentary,Drama,Talk-Show",1,53
"Documentary,Family,Horror",1,72
"Documentary,Family,Sci-Fi",1,63
"Documentary,Fantasy,Musical",1,67
"Documentary,Fantasy,Reality-TV",1,92
"Documentary,Fantasy,Sport",1,64
"Documentary,Fantasy,Thriller",1,97
"Documentary,Game-Show,History",1,73
"Documentary,Game-Show,News",1,85
"Documentary,Horror,Musical",1,63
"Documentary,Horror,Romance",1,62
"Documentary,Horror,Talk-Show",1,88
"Documentary,Music,Sci-Fi",1,87
"Documentary,Music,Western",1,77
"Documentary,Musical,Mystery",1,70
"Documentary,Musical,Reality-TV",1,92
"Documentary,Musical,Sport",1,61
"Documentary,Musical,Thriller",1,87
"Documentary,Mystery,Sport",1,77
"Documentary,News,Sci-Fi",1,91
"Documentary,Reality-TV,Sci-Fi",1,82
"Documentary,Reality-TV,Thriller",1,61
"Documentary,Reality-TV,War",1,80
"Documentary,Romance,Sci-Fi",1,83
"Documentary,Sci-Fi,Thriller",1,75
"Documentary,Sport,Thriller",1,80
"Documentary,Thriller,War",1,74
"Drama,Family,Game-Show",1,17
"Drama,Family,Talk-Show",1,64
"Drama,Fantasy,Film-Noir",1,71
"Drama,Fantasy,News",1,81
"Drama,Fantasy,Reality-TV",1,69
"Drama,Game-Show,Sci-Fi",1,100
"Drama,History,Reality-TV",1,59
"Drama,Horror,Sport",1,51
"Drama,Horror,Talk-Show",1,62
"Drama,Music,Sport",1,56
"Drama,Music,Talk-Show",1,57
"Drama,Musical,Reality-TV",1,72
"Drama,News,Sci-Fi",1,87
"Drama,News,Thriller",1,61
"Drama,News,War",1,52
"Drama,Short,Talk-Show",1,62
"Drama,Talk-Show,War",1,64
"Family,Fantasy,Reality-TV",1,64
"Family,Game-Show,Musical",1,57
"Family,History,Horror",1,74
"Family,History,News",1,88
"Family,History,Sport",1,88
"Family,History,Talk-Show",1,85
"Family,Horror,Romance",1,54
"Family,Horror,War",1,48
"Family,Music,Mystery",1,38
"Family,Musical,Sport",1,74
"Family,Musical,Talk-Show",1,57
"Family,Musical,Western",1,53
"Family,Mystery,Romance",1,68
"Family,News,Short",1,86
"Family,Reality-TV,Romance",1,68
"Family,Reality-TV,Western",1,68
"Family,Sci-Fi,Sport",1,58
"Family,Short,Thriller",1,55
"Family,Sport,Talk-Show",1,61
"Fantasy,Game-Show",1,64
"Fantasy,Game-Show,Reality-TV",1,82
"Fantasy,History,Musical",1,64
"Fantasy,Horror,Sport",1,70
"Fantasy,Horror,War",1,60
"Fantasy,Horror,Western",1,58
"Fantasy,Musical,Western",1,37
"Fantasy,Mystery,News",1,51
"Fantasy,Mystery,War",1,57
"Fantasy,Reality-TV,Sci-Fi",1,70
"Fantasy,Sci-Fi,Sport",1,70
"Fantasy,Sci-Fi,Talk-Show",1,84
"Fantasy,Sci-Fi,War",1,78
"Fantasy,Short,Sport",1,61
"Fantasy,Short,War",1,65
"Film-Noir,Horror",1,47
"Film-Noir,Horror,Mystery",1,60
"Film-Noir,Horror,Sci-Fi",1,73
"Film-Noir,Horror,Thriller",1,67
"Film-Noir,Mystery,Romance",1,63
"Game-Show,History,Music",1,90
"Game-Show,History,Reality-TV",1,66
"Game-Show,Horror,Mystery",1,48
"Game-Show,Musical,Reality-TV",1,76
"Game-Show,Mystery,News",1,84
"Game-Show,Mystery,Short",1,70
"Game-Show,Sport,Western",1,83
"History,Horror,Music",1,71
"History,Horror,War",1,65
"History,Music,Musical",1,82
"History,Music,News",1,92
"History,Musical,Short",1,60
"History,Mystery,News",1,79
"History,Romance,Thriller",1,47
"History,Romance,Western",1,58
"History,Sport,Thriller",1,62
"History,Talk-Show,War",1,71
"History,War,Western",1,56
"Horror,Musical,Romance",1,50
"Horror,News",1,83
"Horror,Reality-TV,Sci-Fi",1,48
"Horror,Reality-TV,Short",1,54
"Horror,Romance,Western",1,46
"Horror,Sci-Fi,Talk-Show",1,67
"Horror,Sci-Fi,War",1,53
"Horror,Short,Talk-Show",1,84
"Music,News,Short",1,82
"Music,Romance,Thriller",1,65
"Music,Romance,Western",1,54
"Music,Short,War",1,57
"Music,Sport,Talk-Show",1,72
"Musical,Mystery,Sci-Fi",1,62
"Musical,News,Reality-TV",1,69
"Musical,Sci-Fi,Thriller",1,57
"Mystery,News",1,79
"Mystery,Reality-TV,Romance",1,62
"Mystery,Sci-Fi,Talk-Show",1,91
"Mystery,Short,Sport",1,48
"Mystery,Short,War",1,53
"Mystery,Sport",1,59
"Mystery,Sport,Western",1,66
"Mystery,Thriller,War",1,72
"News,Romance",1,75
"News,Short,War",1,27
"News,Sport,War",1,73
"Reality-TV,Romance,Talk-Show",1,53
"Reality-TV,Sci-Fi,Short",1,73
"Reality-TV,Short,Sport",1,83
"Reality-TV,Sport,Talk-Show",1,69
"Reality-TV,Talk-Show,Western",1,82
"Romance,Talk-Show",1,51
"Sci-Fi,Thriller,War",1,32
"Short,Sport,Talk-Show",1,71
"Short,Sport,Western",1,54
"Action,Adult,Horror",2,50
"Action,Adult,Short",2,55
"Action,Animation,Musical",2,62
"Action,Biography,Fantasy",2,74.5
"Action,Biography,Thriller",2,69
"Action,Biography,War",2,64.5
"Action,Documentary,News",2,73.5
"Action,History,Musical",2,73.5
"Action,History,Sci-Fi",2,60.5
"Action,Horror,Music",2,61
"Action,Music,Western",2,48
"Action,News",2,51.5
"Action,News,Sport",2,65.5
"Action,Reality-TV,Sci-Fi",2,65
"Action,Sport,War",2,60.5
"Action,Talk-Show",2,81
"Adult,Adventure,Short",2,69
"Adult,Animation,Mystery",2,53
"Adult,Biography,Comedy",2,52
"Adult,Comedy,History",2,61
"Adult,Comedy,Talk-Show",2,59
"Adult,Comedy,War",2,62
"Adult,Crime,Short",2,44
"Adult,Documentary,Reality-TV",2,76
"Adult,Documentary,Romance",2,63.5
"Adult,Drama,Musical",2,59
"Adult,Fantasy,Short",2,49
"Adult,History,Romance",2,59.5
